ko_id	pathway	Kegg_pathwayI	Kegg_pathwayII	Kegg_pathwayIII
ko01100	map01100	Metabolism	Global and overview maps	Metabolic pathways
ko01110	map01110	Metabolism	Global and overview maps	Biosynthesis of secondary metabolites
ko01120	map01120	Metabolism	Global and overview maps	Microbial metabolism in diverse environments
ko01200	map01200	Metabolism	Global and overview maps	Carbon metabolism
ko01210	map01210	Metabolism	Global and overview maps	2-Oxocarboxylic acid metabolism
ko01212	map01212	Metabolism	Global and overview maps	Fatty acid metabolism
ko01230	map01230	Metabolism	Global and overview maps	Biosynthesis of amino acids
ko01232	map01232	Metabolism	Global and overview maps	Nucleotide metabolism
ko01250	map01250	Metabolism	Global and overview maps	Biosynthesis of nucleotide sugars
ko01240	map01240	Metabolism	Global and overview maps	Biosynthesis of cofactors
ko01220	map01220	Metabolism	Global and overview maps	Degradation of aromatic compounds
ko00010	map00010	Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis
ko00020	map00020	Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)
ko00030	map00030	Metabolism	Carbohydrate metabolism	Pentose phosphate pathway
ko00040	map00040	Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions
ko00051	map00051	Metabolism	Carbohydrate metabolism	Fructose and mannose metabolism
ko00052	map00052	Metabolism	Carbohydrate metabolism	Galactose metabolism
ko00053	map00053	Metabolism	Carbohydrate metabolism	Ascorbate and aldarate metabolism
ko00500	map00500	Metabolism	Carbohydrate metabolism	Starch and sucrose metabolism
ko00520	map00520	Metabolism	Carbohydrate metabolism	Amino sugar and nucleotide sugar metabolism
ko00620	map00620	Metabolism	Carbohydrate metabolism	Pyruvate metabolism
ko00630	map00630	Metabolism	Carbohydrate metabolism	Glyoxylate and dicarboxylate metabolism
ko00640	map00640	Metabolism	Carbohydrate metabolism	Propanoate metabolism
ko00650	map00650	Metabolism	Carbohydrate metabolism	Butanoate metabolism
ko00660	map00660	Metabolism	Carbohydrate metabolism	C5-Branched dibasic acid metabolism
ko00562	map00562	Metabolism	Carbohydrate metabolism	Inositol phosphate metabolism
ko00190	map00190	Metabolism	Energy metabolism	Oxidative phosphorylation
ko00195	map00195	Metabolism	Energy metabolism	Photosynthesis
ko00196	map00196	Metabolism	Energy metabolism	Photosynthesis - antenna proteins
ko00710	map00710	Metabolism	Energy metabolism	Carbon fixation in photosynthetic organisms
ko00720	map00720	Metabolism	Energy metabolism	Carbon fixation pathways in prokaryotes
ko00680	map00680	Metabolism	Energy metabolism	Methane metabolism
